
Graph: powerlaw_500_ID3
Nodes: 500, Edges: 1984
L2A Benchmark Cut: 1458
QIGA Cut: 1463

Summary:
Total L2A Cut: 1458
Total QIGA Cut: 1463
Improvement %: 0.34

: 0.0000
Epoch: 140, Loss: 0.0000
Epoch: 160, Loss: 0.0000
Epoch: 180, Loss: 0.0000
Epoch: 200, Loss: 0.0000
Epoch: 220, Loss: 0.0000
Epoch: 240, Loss: 0.0000
Epoch: 260, Loss: 0.0000
Epoch: 280, Loss: 0.0000
Epoch: 300, Loss: 0.0000
Epoch: 320, Loss: 0.0000
Epoch: 340, Loss: 0.0000
Epoch: 360, Loss: 0.0000
Epoch: 380, Loss: 0.0000
Epoch: 400, Loss: 0.0000
Epoch: 420, Loss: 0.0000
Epoch: 440, Loss: 0.0000
Epoch: 460, Loss: 0.0000
Epoch: 480, Loss: 0.0000
Iteration: 0, Best Cut: 1389, Progress: 0.00%
Iteration: 100, Best Cut: 1468, Progress: 3.33%
Iteration: 200, Best Cut: 1468, Progress: 6.67%
Iteration: 300, Best Cut: 1468, Progress: 10.00%
Iteration: 400, Best Cut: 1468, Progress: 13.33%
Iteration: 500, Best Cut: 1468, Progress: 16.67%
Iteration: 600, Best Cut: 1469, Progress: 20.00%
Iteration: 700, Best Cut: 1469, Progress: 23.33%
Iteration: 800, Best Cut: 1469, Progress: 26.67%
Iteration: 900, Best Cut: 1469, Progress: 30.00%
Iteration: 1000, Best Cut: 1469, Progress: 33.33%
Iteration: 1100, Best Cut: 1472, Progress: 36.67%
Iteration: 1200, Best Cut: 1472, Progress: 40.00%
Iteration: 1300, Best Cut: 1472, Progress: 43.33%
Iteration: 1400, Best Cut: 1472, Progress: 46.67%
Iteration: 1500, Best Cut: 1472, Progress: 50.00%
Iteration: 1600, Best Cut: 1469, Progress: 53.33%
Iteration: 1700, Best Cut: 1469, Progress: 56.67%
Iteration: 1800, Best Cut: 1469, Progress: 60.00%
Iteration: 1900, Best Cut: 1469, Progress: 63.33%
Iteration: 2000, Best Cut: 1469, Progress: 66.67%
Iteration: 2100, Best Cut: 1467, Progress: 70.00%
Iteration: 2200, Best Cut: 1467, Progress: 73.33%
Iteration: 2300, Best Cut: 1467, Progress: 76.67%
Iteration: 2400, Best Cut: 1467, Progress: 80.00%
Iteration: 2500, Best Cut: 1467, Progress: 83.33%
Iteration: 2600, Best Cut: 1471, Progress: 86.67%
Iteration: 2700, Best Cut: 1471, Progress: 90.00%
Iteration: 2800, Best Cut: 1471, Progress: 93.33%
Iteration: 2900, Best Cut: 1471, Progress: 96.67%
Iteration: 0, Best Cut: 1362, Progress: 0.00%
Iteration: 100, Best Cut: 1467, Progress: 3.33%
Iteration: 200, Best Cut: 1467, Progress: 6.67%
Iteration: 300, Best Cut: 1467, Progress: 10.00%
Iteration: 400, Best Cut: 1467, Progress: 13.33%
Iteration: 500, Best Cut: 1467, Progress: 16.67%
Iteration: 600, Best Cut: 1475, Progress: 20.00%
Iteration: 700, Best Cut: 1475, Progress: 23.33%
Iteration: 800, Best Cut: 1475, Progress: 26.67%
Iteration: 900, Best Cut: 1475, Progress: 30.00%
Iteration: 1000, Best Cut: 1475, Progress: 33.33%
Iteration: 1100, Best Cut: 1476, Progress: 36.67%
Iteration: 1200, Best Cut: 1476, Progress: 40.00%
Iteration: 1300, Best Cut: 1476, Progress: 43.33%
Iteration: 1400, Best Cut: 1476, Progress: 46.67%
Iteration: 1500, Best Cut: 1476, Progress: 50.00%
Iteration: 1600, Best Cut: 1476, Progress: 53.33%
Iteration: 1700, Best Cut: 1476, Progress: 56.67%
Iteration: 1800, Best Cut: 1476, Progress: 60.00%
Iteration: 1900, Best Cut: 1476, Progress: 63.33%
Iteration: 2000, Best Cut: 1476, Progress: 66.67%
Iteration: 2100, Best Cut: 1471, Progress: 70.00%
Iteration: 2200, Best Cut: 1471, Progress: 73.33%
Iteration: 2300, Best Cut: 1471, Progress: 76.67%
Iteration: 2400, Best Cut: 1471, Progress: 80.00%
Iteration: 2500, Best Cut: 1471, Progress: 83.33%
Iteration: 2600, Best Cut: 1472, Progress: 86.67%
Iteration: 2700, Best Cut: 1472, Progress: 90.00%
Iteration: 2800, Best Cut: 1472, Progress: 93.33%
Iteration: 2900, Best Cut: 1472, Progress: 96.67%
Iteration: 0, Best Cut: 1352, Progress: 0.00%
Iteration: 100, Best Cut: 1473, Progress: 3.33%
Iteration: 200, Best Cut: 1473, Progress: 6.67%
Iteration: 300, Best Cut: 1473, Progress: 10.00%
Iteration: 400, Best Cut: 1473, Progress: 13.33%
Iteration: 500, Best Cut: 1473, Progress: 16.67%
Iteration: 600, Best Cut: 1474, Progress: 20.00%
Iteration: 700, Best Cut: 1474, Progress: 23.33%
Iteration: 800, Best Cut: 1474, Progress: 26.67%
Iteration: 900, Best Cut: 1474, Progress: 30.00%
Iteration: 1000, Best Cut: 1474, Progress: 33.33%
Iteration: 1100, Best Cut: 1475, Progress: 36.67%
Iteration: 1200, Best Cut: 1475, Progress: 40.00%
Iteration: 1300, Best Cut: 1475, Progress: 43.33%
Iteration: 1400, Best Cut: 1475, Progress: 46.67%
Iteration: 1500, Best Cut: 1475, Progress: 50.00%
Iteration: 1600, Best Cut: 1475, Progress: 53.33%
Iteration: 1700, Best Cut: 1475, Progress: 56.67%
Iteration: 1800, Best Cut: 1475, Progress: 60.00%
Iteration: 1900, Best Cut: 1475, Progress: 63.33%
Iteration: 2000, Best Cut: 1475, Progress: 66.67%
Iteration: 2100, Best Cut: 1475, Progress: 70.00%
Iteration: 2200, Best Cut: 1475, Progress: 73.33%
